rvote	stt	eth	inc	age	sex	edu	mar	kid
0	5	2	2	2	2	2	2	1
1	37	1	2	3	2	2	1	2
0	3	3	3	2	1	4	1	1
1	22	1	3	4	2	2	1	2
0	11	2	2	1	2	3	2	1
1	44	3	4	2	1	3	1	1
0	47	1	NA	3	1	5	1	1
1	47	1	3	3	1	2	1	2
1	1	2	3	1	1	1	2	2
0	5	1	2	1	2	2	1	1
1	48	1	3	2	2	2	1	1
0	33	4	1	3	1	1	1	1
1	30	1	3	1	1	4	2	2
NA	31	1	3	3	1	2	1	2
1	15	1	3	2	1	3	1	1
1	11	1	3	3	1	5	1	2
1	44	1	2	1	2	2	2	2
0	38	1	4	3	1	4	1	1
0	31	1	4	3	1	5	1	1
1	5	1	2	3	2	3	2	2
0	34	2	3	1	2	3	1	1
1	31	1	3	3	1	2	1	2
NA	31	1	5	1	1	2	2	2
1	15	1	2	1	2	2	1	1
1	3	1	3	2	1	3	2	1
0	21	1	2	2	1	5	2	2
0	23	1	2	3	1	1	1	1
0	22	1	1	3	2	4	2	2
1	39	1	2	3	2	2	1	2
1	5	3	3	1	1	2	2	2
0	5	1	2	1	2	2	2	2
NA	23	1	1	1	2	2	2	1
NA	5	2	4	3	2	4	2	2
1	34	1	2	2	1	5	2	2
1	11	1	3	3	1	4	1	2
1	34	1	2	2	1	2	2	1
1	38	1	3	2	2	3	1	1
1	28	1	4	2	1	4	1	1
1	4	1	3	2	2	3	1	1
0	28	1	3	2	2	3	2	2
1	44	1	3	3	2	1	1	2
NA	4	1	NA	3	1	4	1	1
0	5	1	4	2	2	5	1	1
1	33	1	1	2	2	3	2	1
1	15	1	2	3	1	3	1	2
0	5	3	1	3	2	5	2	2
1	33	1	2	2	2	3	2	1
NA	19	1	3	2	1	2	1	1
0	5	1	4	2	1	5	1	2
0	21	1	4	3	1	3	1	2
1	33	1	3	3	2	2	1	2
0	33	2	3	2	1	3	2	1
1	4	1	NA	2	2	4	1	1
1	25	1	2	2	2	3	2	2
1	23	1	3	1	1	5	1	1
NA	33	1	2	2	2	4	2	1
1	36	1	3	2	2	4	1	1
1	28	1	3	3	2	4	1	2
NA	17	1	2	1	2	4	2	1
